"EntityNumber","ActivityGroup","NaceVersion","NaceCode","Classification"
"0200.065.765","BTW001","2003","70111","MAIN"
"0200.065.765","BTW001","2008","41101","MAIN"
"0200.065.765","PPO001","2008","84130","MAIN"
"0200.068.636","BTW001","2003","41000","MAIN"
"0200.068.636","BTW001","2008","36000","MAIN"
"0200.068.636","BTW001","2008","93110","SECO"
"0200.068.636","BTW001","2008","93126","SECO"
"0200.068.636","BTW001","2008","93299","SECO"
"0200.068.636","PPO001","2008","36000","MAIN"
"0200.305.493","BTW001","2003","45211","MAIN"
"0200.305.493","BTW001","2003","45213","SECO"
"0200.305.493","BTW001","2003","70111","SECO"
"0200.305.493","BTW001","2003","90021","SECO"
"0200.305.493","BTW001","2008","41201","MAIN"
"0200.305.493","BTW001","2008","38219","SECO"
"0200.305.493","BTW001","2008","41101","SECO"
"0200.305.493","BTW001","2008","41203","SECO"
"0200.305.493","PPO001","2008","84130","MAIN"
"0200.362.111","BTW001","2003","41000","MAIN"
"0200.362.111","BTW001","2008","36000","MAIN"
"0200.362.111","PPO001","2008","36000","MAIN"
"0200.362.210","BTW001","2003","90010","MAIN"
"0200.362.210","BTW001","2008","37000","MAIN"
"0200.362.210","PPO001","2008","37000","MAIN"
"0200.362.408","PPO001","2008","84120","MAIN"
"0200.420.410","RSZ001","2003","91310","MAIN"
"0200.420.410","RSZ001","2008","94910","MAIN"
"0200.762.878","BTW001","2003","85322","MAIN"
"0200.762.878","BTW001","2008","88995","MAIN"
"0200.762.878","PPO001","2008","88996","MAIN"
"0200.881.951","BTW001","2003","75116","MAIN"
"0200.881.951","BTW001","2003","70111","SECO"
"0200.881.951","BTW001","2003","90010","SECO"
"0200.881.951","BTW001","2008","84119","MAIN"
"0200.881.951","BTW001","2008","37000","SECO"
"0200.881.951","BTW001","2008","41101","SECO"
"0200.881.951","PPO001","2008","38110","MAIN"
"0200.952.524","BTW001","2003","41000","MAIN"
"0200.952.524","BTW001","2008","36000","MAIN"
"0200.952.524","PPO001","2008","36000","MAIN"
"0201.105.843","BTW001","2003","74131","MAIN"
"0201.105.843","BTW001","2003","45241","SECO"
"0201.105.843","BTW001","2008","73200","MAIN"
"0201.105.843","BTW001","2008","42911","SECO"
"0201.105.843","PPO001","2008","38110","MAIN"
"0201.107.526","BTW001","2003","02020","MAIN"
"0201.107.526","BTW001","2008","02400","MAIN"
"0201.107.922","BTW001","2003","85322","MAIN"
"0201.107.922","BTW001","2003","45211","SECO"
