"EntityNumber","TypeOfAddress","CountryNL","CountryFR","Zipcode","MunicipalityNL","MunicipalityFR","StreetNL","StreetFR","HouseNumber","Box","ExtraAddressInfo","DateStrikingOff"
"0200.065.765","REGO",,,"9070","Destelbergen","Destelbergen","Dendermondesteenweg","Dendermondesteenweg","430","","",
"0200.068.636","REGO",,,"9000","Gent","Gent","Stropstraat","Stropstraat","1","","",
"0200.171.970","REGO",,,"9000","Gent","Gent","Brabantdam","Brabantdam","101","","",
"0200.245.711","REGO",,,"9500","Geraardsbergen","Geraardsbergen","Hoge Buizemont","Hoge Buizemont","247","","",
"0200.305.493","REGO",,,"9420","Erpe-Mere","Erpe-Mere","Joseph Cardijnstraat","Joseph Cardijnstraat","60","","",
"0200.305.493","ABBR",,,"9300","Aalst","Aalst","Stationsstraat","Stationsstraat","31","","",
"0200.355.676","REGO",,,"9600","Ronse","Ronse","","","","","",
"0200.362.111","REGO",,,"1474","Genappe","Genappe","Rue Emile François","Rue Emile François","27","","",
"0200.362.210","REGO",,,"1400","Nivelles","Nivelles","Rue de la Religion","Rue de la Religion","10","","",
"0200.362.408","REGO",,,"1450","Chastre","Chastre","Rue de Gembloux","Rue de Gembloux","2","","",
"0200.420.410","REGO",,,"3290","Diest","Diest","Michel Theysstraat","Michel Theysstraat","18","","",
"0200.420.608","REGO",,,"8970","Poperinge","Poperinge","Gasthuisstraat","Gasthuisstraat","5","","",
"0200.448.421","REGO",,,"8500","Kortrijk","Kortrijk","Budastraat(Kor)","Budastraat(Kor)","37","","",
"0200.450.005","REGO",,,"8000","Brugge","Brugge","Woensdagmarkt","Woensdagmarkt","6","","",
"0200.762.878","REGO",,,"2850","Boom","Boom","Colonel Silvertopstraat","Colonel Silvertopstraat","15","","",
"0200.809.497","REGO",,,"2800","Mechelen","Mechelen","Grote Markt, 21 Stadhuis","Grote Markt, 21 Stadhuis","","","",
"0200.809.497","ABBR",,,"2800","Mechelen","Mechelen","Electriciteitsstraat","Electriciteitsstraat","68","","",
"0200.812.368","REGO",,,"2800","Mechelen","Mechelen","Grote Markt, 21 Stadhuis","Grote Markt, 21 Stadhuis","","","",
"0200.812.368","ABBR",,,"2800","Mechelen","Mechelen","Electriciteitsstraat","Electriciteitsstraat","68","","",
"0200.881.951","REGO",,,"1731","Asse","Asse","Brusselsesteenweg","Brusselsesteenweg","617","","",
"0200.882.050","REGO",,,"1000","Brussel","Bruxelles","Eikstraat","Rue du Chêne","16","","",
"0200.952.524","REGO",,,"3500","Hasselt","Hasselt","Willekensmolenstraat","Willekensmolenstraat","122","","",
"0201.105.843","REGO",,,"7000","Mons","Mons","Rue de Nimy","Rue de Nimy","53","","",
"0201.107.427","REGO",,,"7000","Mons","Mons","*Hôtel de Ville","*Hôtel de Ville","","","",
