"EntityNumber","TypeOfAddress","CountryNL","CountryFR","Zipcode","MunicipalityNL","MunicipalityFR","StreetNL","StreetFR","HouseNumber","Box","ExtraAddressInfo","DateStrikingOff"
"0257.883.408","REGO","Turkije","Turquie","","Gayreteppe - Istamboul","Gayreteppe - Istamboul","Altan Erbulak Sokak, Haya Han  1","Altan Erbulak Sokak, Haya Han  1","","","",
"0264.000.841","REGO","Frankrijk","France","","Paris","Paris","","","","","",
"0400.006.719","REGO","Groot-Brittannië","Grande-Bretagne","","Richmond (Surrey)","Richmond (Surrey)","Ten Sheen Road","Ten Sheen Road","","","",
"0400.007.115","REGO","Australië","Australie","","Tarenpoint","Tarenpoint","Corner Baystreet and Alexander A","Corner Baystreet and Alexander A","","","",
"0400.032.849","REGO","Frankrijk","France","","Paris XXe","Paris XXe","Rue des Orteaux","Rue des Orteaux","91","","",
"0400.051.358","REGO","Duitsland (Bondsrep.)","Allemagne (Rép.féd.)","","West-Duitsland","West-Duitsland","Stolberg  519 (Rheinland)","Stolberg  519 (Rheinland)","","","",
"0400.067.095","REGO","Frankrijk","France","","Arras","Arras","Rue des Jongleurs","Rue des Jongleurs","2","","",
"0400.074.223","REGO","Frankrijk","France","","Portet sur Garonne","Portet sur Garonne","Boulevard Carnot","Boulevard Carnot","63","","",
"0400.109.855","REGO","Zwitserland","Suisse","","Zurich","Zurich","Dufourstrasse","Dufourstrasse","122","","",
"0400.145.586","REGO","Luxemburg (Groot-Hertogdom)","Luxembourg (Grand-Duché)","","Luxembourg","Luxembourg","Avenue de la Liberté","Avenue de la Liberté","17","","",
"0400.150.140","REGO","Nederland","Pays-Bas","","Nederland","Nederland","Park Ter Leie","Park Ter Leie","4","","",
"0400.291.680","REGO","Nederland","Pays-Bas","","Helmond","Helmond","Kanaaldijk","Kanaaldijk","62","","",
"0400.311.575","REGO","Nederland","Pays-Bas","","Arnhem","Arnhem","Pieter Calandweg","Pieter Calandweg","2","","",
"0400.349.286","REGO","Frankrijk","France","","Paris 10e","Paris 10e","Rue de Chabrol","Rue de Chabrol","15","","",
