"EntityNumber","EntityContact","ContactType","Value"
"0200.362.111","ENT","TEL","067 28 01 11"
"0200.362.111","ENT","EMAIL","info@iecbw.be"
"0200.362.111","ENT","WEB","www.iecbw.be/"
"0200.362.408","ENT","TEL","081 61 42 48"
"0200.362.408","ENT","EMAIL","secretariat@isbw.be"
"0201.310.929","ENT","TEL","089/32.39.50"
"0201.310.929","ENT","EMAIL","info@iglimburg.be"
"0201.543.234","ENT","TEL","071 44 00 40"
"0201.543.234","ENT","EMAIL","info@icdi.be"
"0201.645.281","ENT","TEL","071 20 28 11"
"0201.645.281","ENT","EMAIL","info@igretec.com"
"0202.395.052","ENT","TEL","04/367 84 11"
"0202.395.052","ENT","EMAIL","info@cile.be"
"0203.201.340","ENT","TEL","02 221 21 11"
"0203.201.340","ENT","EMAIL","info@nbb.be"
"0203.201.340","ENT","WEB"," www.nbb.be"
"0203.286.759","ENT","TEL","02 788 88 00"
"0203.389.204","ENT","TEL","02/376 76 43"
"0203.389.204","ENT","EMAIL","directeur@cremabru.be"
"0203.989.614","ENT","TEL","085/51.13.92"
"0203.989.614","ENT","EMAIL","iden.ml@skynet.be"
"0200.362.111","ENT","TEL","067 28 01 11"
"0200.362.111","ENT","EMAIL","info@iecbw.be"
"0200.362.111","ENT","WEB","www.iecbw.be/"
"0200.362.408","ENT","TEL","081 61 42 48"
"0200.362.408","ENT","EMAIL","secretariat@isbw.be"
"0201.310.929","ENT","TEL","089/32.39.50"
"0201.310.929","ENT","EMAIL","info@iglimburg.be"
"0201.543.234","ENT","TEL","071 44 00 40"
"0201.543.234","ENT","EMAIL","info@icdi.be"
"0201.645.281","ENT","TEL","071 20 28 11"
"0201.645.281","ENT","EMAIL","info@igretec.com"
"0202.395.052","ENT","TEL","04/367 84 11"
"0202.395.052","ENT","EMAIL","info@cile.be"
"0203.201.340","ENT","TEL","02 221 21 11"
"0203.201.340","ENT","EMAIL","info@nbb.be"
"0203.201.340","ENT","WEB"," www.nbb.be"
"0203.286.759","ENT","TEL","02 788 88 00"
"0203.389.204","ENT","TEL","02/376 76 43"
"0203.389.204","ENT","EMAIL","directeur@cremabru.be"
"0203.989.614","ENT","TEL","085/51.13.92"
"0203.989.614","ENT","EMAIL","iden.ml@skynet.be"
"2.158.766.672","EST","TEL","067 28 01 11"
"2.158.766.672","EST","EMAIL","info@iecbw.be"
"2.172.249.969","EST","TEL","02/2872411"
"2.172.249.969","EST","EMAIL","birb@birb.be"
"2.009.956.596","EST","TEL","02/376 76 43"
"2.009.956.596","EST","EMAIL","directeur@cremabru.be"
"2.152.229.466","EST","TEL","04 338 72 94"
"2.158.766.672","EST","TEL","067 28 01 11"
"2.158.766.672","EST","EMAIL","info@iecbw.be"
"2.172.249.969","EST","TEL","02/2872411"
"2.172.249.969","EST","EMAIL","birb@birb.be"
"2.009.956.596","EST","TEL","02/376 76 43"
"2.009.956.596","EST","EMAIL","directeur@cremabru.be"
"2.152.229.466","EST","TEL","04 338 72 94"
