"EntityNumber","Language","TypeOfDenomination","Denomination"
"0200.065.765","2","001","Dienstverlenende Vereniging voor Ruimtelijke Ordening en Economische Ontwikkeling, Veneco2"
"0200.065.765","2","002","Veneco"
"0200.068.636","2","001","TUSSENGEMEENTELIJKE MAATSCHAPPIJ DER VLAANDEREN VOOR WATERVOORZIENING"
"0200.068.636","2","002","T.M.V.W."
"0200.171.970","0","001","Sanatorium-Hospitaal van Lemberge"
"0200.245.711","2","001","Intercommunaal Sanatorium Denderoord"
"0200.245.711","2","002","DENDEROORD"
"0200.305.493","2","001","Intergemeentelijk Samenwerkingsverband voor ruimtelijke ordening en socio-economische expansie"
"0200.355.676","0","001","Tussengemeentelijk Lazaret Ronse - Lazaret Intercommunal de Renaix"
"0200.362.111","1","001","Intercommunale des Eaux du Centre du Brabant wallon"
"0200.362.111","1","002","I.E.C.B.W."
"0200.362.210","1","001","Association intercommunale pour l'Aménagement et l'Expansion économique du Brabant Wallon"
"0200.362.210","1","002","I.B.W."
"0200.362.408","1","001","Intercommunale Sociale du Brabant wallon"
"0200.362.408","1","002","I.S.B.W."
"0200.420.410","0","001","Congregatie der Gasthuiszusters-Augustinessen van Diest"
"0200.420.608","2","001","Congregatie der Gasthuiszusters van Poperinge"
"0200.448.421","2","001","Liefdadige Congregatie der Gasthuiszusters"
"0200.450.005","2","001","Liefdadige Congregatie der Zwarte Zusters van Brugge, Oostende, en Menen"
"0200.762.878","2","001","Intercommunale voor Medico-Sociale Instellingen van de Rupelstreek"
"0200.762.878","2","002","IMSIR"
"0200.809.497","2","001","Regionale Intercommunale Electriciteitsmaatschappij voor Zuid-Antwerpen"
"0200.809.497","2","002","EZA"
"0200.812.368","1","001","Intercommunale Maatschappij voor Gasbedeling"
"0200.812.368","1","002","I.M.A.G.A."
"0200.881.951","2","001","Intercommunale Maatschappij voor de Ruimtelijke Ordening en de Economisch- Sociale Expansie van het Arrondissement Halle-Vilvoorde"
"0200.881.951","2","002","HAVILAND"
"0200.882.050","0","001","Intercommunale maatschappij voor de Sanering van het Dal der Molenbeek en Pontbeek"
"0200.882.050","0","002","VALLEE MOLENBEEK PONTBEEK DAL"
"0200.952.524","2","001","Intercommunale Watermaatschappij"
"0200.952.524","2","002","I.W.M."
"0201.105.843","1","001","I.D.E.A. HENNUYERE"
"0201.105.843","1","002","I.D.E.A."
"0201.107.427","1","001","Société Intercommunale d'Electricité de Mons et du Borinage"
"0201.107.427","1","002","SIMBEL"
"0201.107.526","1","001","Association Intercommunale du Bois d'Havré"
"0201.107.526","1","002","BOIS D'HAVRE"
"0201.107.922","1","001","INTERCOMMUNALE DU RESEAU SOCIAL D'INSERTION ET D'ACCUEIL"
"0201.107.922","1","002","IRSIA"
"0201.183.146","0","001","Société Intercommunale de l'Electricité de la Dendre et du Canton de Lens"
"0201.183.146","0","002","I.D.E.L."
"0201.183.245","1","001","Association Intercommunale Mixte d'Electricité d'Ath, Horrues et Soignies"
"0201.183.245","1","002","I.M.E.L.A."
"0201.258.172","1","001","Société intercommunale pour la distribution du gaz et de l'électricité dans la région de Mouscron"
"0201.258.172","1","002","SIMOGEL"
"0201.310.731","2","001","NOORDLIMBURGSE MAATSCHAPPIJ VOOR DE OPRICHTING VAN EEN INDUSTRIEPARK IN NOORD-LIMBURG"
"0201.310.731","2","002","NOLIMPARK"
"0201.310.929","2","001","Intercommunale vereniging voor hulp aan gehandicapten in Limburg"
"0201.310.929","2","002","I.G.L."
"0201.311.028","2","001","Intercommunale Maatschappij voor Ruimtelijke Ontwikkeling in Limburg"
"0201.311.028","2","002","I.M.L."
"0201.311.226","2","001","INFRAX LIMBURG o.v."
"0201.339.039","0","001","Provinciale Limburgse Intercommunale Gasmaatschappij"
"0201.339.039","0","002","Pli Gas"
"0201.400.011","1","001","SOCIETE INTERCOMMUNALE BEP - EXPANSION ECONOMIQUE"
"0201.400.110","1","001","Association Intercommunale des Eaux du Condroz"
"0201.400.110","1","002","A.I.E.C."
"0201.400.209","1","001","Société intercommunale BEP-Environnement"
"0201.400.209","1","002","FAMENNE CONDROZ H MEUSE"
"0201.456.924","0","001","Intercommunale de distribution d'Eau de Tihange et environs"
"0201.456.924","0","002","TIHANGE"
"0201.543.234","1","001","Association Intercommunale pour la Collecte et la Destruction des Immondices de la Région de Charleroi"
"0201.543.234","1","002","I.C.D.I."
"0201.543.828","1","001","Société Intercommunale Mixte d'Electricité de l'Est et du Centre du Hainaut"
"0201.543.828","1","002","INTERHAINAUT"
"0201.552.538","0","001","Oeuvres Sociales Intercommunale"
"0201.568.473","0","001","Union intercommunale pour l'Exécution des Travaux de Voutement et d'Amélioration des Ruisseaux de Lodelinsart"
"0201.645.281","1","001","Intercommunale Pure de Financement du Hainaut"
"0201.645.281","1","002","I.P.F.H."
"0201.704.471","1","001","ASSOCIATION INTERCOMMUNALE HOSPITALIERE DU SUD-HAINAUT ET DU SUD-NAMUROIS"
"0201.704.471","1","002","A.I.H.S.H.S.N."
"0201.704.471","1","003","Centre de Santé des Fagnes - Résidence Le Chalon"
"0201.710.312","1","001","Compagnie Intercommunale de Distribution d'Eau de Salles et Robechies"
"0201.710.312","1","002","Salles Robechies"
"0201.712.587","1","001","Association Intercommunale d'Electricité du Sud du Hainaut"
"0201.712.587","1","002","A.I.E.S.H."
"0201.717.438","1","001","Association Intercommunale pour le Développement Economique et l'Aménagement du Territoire du Sud-Hainaut"
"0201.717.438","1","002","INTERSUD"
"0201.741.786","1","001","Intercommunale pour la Gestion et la Réalisation d'Etudes Techniques et Economiques"
"0201.741.786","1","002","I.G.R.E.T.E.C."
"0201.760.592","0","001","Compagnie Intercommunale Distribution d'Eau du Centre"
"0201.808.401","1","001","Intercommunale de Santé HARMEGNIES - ROLLAND"
"0201.808.401","1","002","CENTRE DE SANTE HARMEGNIES"
"0201.808.696","1","001","CENTRE INTERCOMMUNAL DE SANTE ARTHUR NAZE"
"0201.847.991","0","001","ACADEMIE INTERCOMMUNALE DE MUSIQUE DE SAINT-JOSSE-TEN-NOODE - SCHAERBEEK"
"0201.978.150","0","001","Société Intercommunale des Voies d'Accès à l'Aérodrome de Bruxelles - Intercommunale Maatschappij van de Toegangswegen tot de Luchthaven van Brussel"
"0201.978.150","0","002","S.I.V.A."
"0202.082.078","0","001","Intercommunale Bruxelloise d'Electricité - Brusselse Electriciteitsintercommunale"
"0202.082.078","0","002","I.B.E."
"0202.082.177","0","001","Intercommunale Bruxelloise du Gaz - Brusselse Gasintercommunale"
"0202.082.177","0","002","I.B.G."
"0202.239.951","2","001","BELGACOM"
"0202.268.754","1","001","CREDIT SOCIAL LOGEMENT"
"0202.320.224","1","001","Intercommunale laitière du Canton de Saint-Vith"
"0202.329.033","0","001","Association Intercommunale des Eaux de La Calamine"
"0202.395.052","1","001","Compagnie Intercommunale Liégeoise des Eaux"
"0202.395.052","1","002","C.I.L.E."
"0202.414.452","0","001","Port Autonome de Liège"
"0202.470.177","1","001","Association intercommunale d'Oeuvres médico-sociales de la Région de Moresnet"
"0202.470.177","1","002","A.I.O.M.S. de MORESNET"
"0202.492.151","0","001","Association Intercommunale d'Electricité de l'Ouest du Hainaut"
"0202.492.151","0","002","INTELOUEST"
"0202.500.267","1","001","Intercommunale de Développement Economique et d'Aménagement du Territoire du Hainaut Occidental"
"0202.500.267","1","002","SIDEHO"
"0202.500.465","0","001","Association Intercommunale pour la Distribution de l'Eau Potable pour Tournai et Extensions"
"0202.500.465","0","002","I.C. EAUX TOURNAI"
"0202.508.878","1","001","Intercommunale d'Oeuvres médico-sociales des Arrondissements de Tournai - Ath - Mouscron et Cantons limitrophes"
"0202.508.878","1","002","I.M.S.T.A.M."
"0202.554.113","1","001","ASSOCIATION INTERCOMMUNALE DE SANTE DE LA BASSE-SAMBRE"
"0202.554.113","1","002","A.I.S.B.S."
"0202.554.311","1","001","ASSOCIATION INTERCOMMUNALE POUR LE TRAITEMENT DES IMMONDICES SAMBREVILLE - FLEURUS ET EXTENSIONS"
"0202.554.311","1","002","A.I.T.I."
"0202.554.608","1","001","Association Intercommunale des Eaux de la Molignée"
"0202.554.608","1","002","MOLIGNEE"
"0202.555.004","1","001","Association Intercommunale d'Etudes et d'Exploitation d'Electricité et de Gaz"
"0202.555.004","1","002","A.I.E.G."
"0202.555.103","1","001","Société Intercommunale d'Aménagement et d'Equipement Economique de l'Entre-Sambre et Meuse"
"0202.555.103","1","002","ENTRE SAMBRE ET MEUSE"
"0202.718.122","0","001","Intercommunale Mij Voor Het Verwijd. en Verniet. Van Huisvuil"
"0202.718.122","0","002","I.O.B."
"0202.819.476","1","001","Bureau d'Intervention et de Restitution belge"
"0202.819.476","1","002","B.I.R.B."
"0202.819.476","2","001","Belgisch Interventie- en Restitutiebureau"
"0202.819.476","2","002","B.I.R.B."
"0202.819.476","3","001","Belgisches Interventions- und Rückgabebüro"
"0202.824.228","0","001","Régie des Services Frigorifiques de l'Etat - Regie der Belgische Rijkskoel- en Vriesdiensten"
"0202.824.228","0","002","REFRIBEL"
"0202.962.701","1","001","VIVAQUA"
"0202.962.701","2","001","VIVAQUA"
"0202.969.629","0","001","Société Nationale des Distributions d'Eau - Nationale Maatschappij de Waterleidingen"
"0202.969.629","0","002","S.N.D.E."
"0203.071.973","1","001","BRULABO"
"0203.071.973","2","001","BRULABO"
"0203.178.079","1","001","Intercommuale Intergaz"
"0203.178.079","1","002","INTERGAZ"
"0203.201.340","0","001","Banque Nationale de Belgique - Nationale Bank van België - Belgische Nationalbank"
"0203.211.040","1","001","Holding Communal - Gemeentelijke Holding - Gemeindliche Holding"
"0203.211.040","2","001","HOLDING COMMUNAL - GEMEENTELIJKE HOLDING - GEMEINDLICHE HOLDING"
"0203.286.561","0","001","CREDIBE"
"0203.286.561","0","002","OCCH CBHK ZAHG"
"0203.286.759","1","001","Office national du Ducroire"
"0203.286.759","2","001","Nationale Delcrederedienst"
"0203.375.049","0","001","Société Intercommunale de Propreté Publique"
"0203.375.049","0","002","S.I.P.P."
"0203.375.148","0","001","Intercommunale pour le Traitement des Immondices du Sud-Ouest de l'Agglomération Bruxelloise"
