"EnterpriseNumber","Status","JuridicalSituation","TypeOfEnterprise","JuridicalForm","StartDate"
"0200.065.765","AC","000","2","416",09-08-1960
"0200.068.636","AC","000","2","108",16-02-1923
"0200.171.970","AC","000","2","116",01-01-1968
"0200.245.711","AC","012","2","116",01-01-1922
"0200.305.493","AC","000","2","416",01-01-1922
"0200.355.676","AC","012","2","151",15-05-1948
"0200.362.111","AC","000","2","108",01-01-1968
"0200.362.210","AC","000","2","008",26-02-1968
"0200.362.408","AC","000","2","008",01-01-1968
"0200.420.410","AC","000","2","051",01-01-1968
"0200.420.608","AC","000","2","128",01-01-1968
"0200.448.421","AC","000","2","128",02-08-1963
"0200.450.005","AC","000","2","128",01-10-1865
"0200.762.878","AC","000","2","416",01-01-1922
"0200.809.497","AC","012","2","114",09-05-1968
"0200.812.368","AC","012","2","114",01-01-1968
"0200.881.951","AC","000","2","416",01-01-1968
"0200.882.050","AC","000","2","116",08-01-1946
"0200.952.524","AC","000","2","417",01-01-1965
"0201.105.843","AC","000","2","108",02-03-1956
"0201.107.427","AC","012","2","114",31-03-1958
"0201.107.526","AC","000","2","114",07-01-1925
"0201.107.922","AC","000","2","108",13-05-1955
"0201.183.146","AC","000","2","116",01-01-1968
"0201.183.245","AC","012","2","116",01-01-1968
"0201.258.172","AC","000","2","108",28-12-1954
"0201.310.731","AC","000","2","416",01-01-1968
"0201.310.929","AC","000","2","417",06-05-1967
"0201.311.028","AC","012","2","416",21-10-1964
"0201.311.226","AC","000","2","417",01-01-1968
"0201.339.039","AC","012","2","116",29-06-1953
"0201.400.011","AC","000","2","414",11-10-1963
"0201.400.110","AC","000","2","108",21-04-1949
"0201.400.209","AC","000","2","414",19-11-1962
"0201.456.924","AC","000","2","116",01-01-1929
"0201.543.234","AC","000","2","108",26-10-1948
"0201.543.828","AC","012","2","116",24-10-1968
"0201.552.538","AC","000","2","116",24-10-1968
"0201.568.473","AC","000","2","116",24-10-1968
"0201.645.281","AC","000","2","208",01-01-1968
"0201.704.471","AC","000","2","108",01-12-1964
"0201.710.312","AC","000","2","116",01-01-1968
"0201.712.587","AC","000","2","008",28-04-1925
"0201.717.438","AC","000","2","108",08-06-1967
"0201.741.786","AC","000","2","108",06-06-1946
"0201.760.592","AC","000","2","116",01-01-1968
"0201.808.401","AC","000","2","116",01-01-1968
"0201.808.696","AC","000","2","108",01-01-1968
"0201.847.991","AC","000","2","116",01-01-1968
"0201.978.150","AC","012","2","116",24-10-1968
"0202.082.078","AC","000","2","108",01-01-1968
"0202.082.177","AC","000","2","108",01-01-1968
"0202.239.951","AC","000","2","114",19-07-1930
"0202.268.754","AC","000","2","208",01-11-1968
"0202.320.224","AC","000","2","116",01-11-1968
"0202.329.033","AC","000","2","116",01-11-1968
"0202.395.052","AC","000","2","108",27-12-1913
"0202.414.452","AC","000","2","124",01-01-1968
"0202.470.177","AC","000","2","008",21-12-1965
"0202.492.151","AC","012","2","116",29-12-1955
"0202.500.267","AC","012","2","116",01-01-1968
"0202.500.465","AC","000","2","116",01-01-1968
"0202.508.878","AC","000","2","008",01-01-1968
"0202.554.113","AC","000","2","108",16-05-1963
"0202.554.311","AC","012","2","108",20-05-1957
"0202.554.608","AC","000","2","108",01-01-1968
"0202.555.004","AC","000","2","414",01-01-1968
"0202.555.103","AC","000","2","108",01-01-1968
"0202.718.122","AC","000","2","116",01-01-1963
"0202.819.476","AC","000","2","124",10-11-1967
"0202.824.228","AC","000","2","124",16-03-1954
"0202.962.701","AC","000","2","414",01-01-1968
"0202.969.629","AC","012","2","116",26-08-1913
"0203.071.973","AC","000","2","414",01-01-1968
"0203.178.079","AC","012","2","114",23-01-1960
"0203.201.340","AC","000","2","014",19-06-1959
"0203.211.040","AC","012","2","014",24-11-1860
"0203.286.561","AC","000","2","114",07-01-1936
"0203.286.759","AC","000","2","124",04-11-1939
"0203.375.049","AC","000","2","116",01-01-1948
"0203.375.148","AC","012","2","116",02-02-1940
"0203.389.204","AC","000","2","414",01-01-1968
"0203.430.576","AC","000","2","114",01-01-1968
"0203.563.111","AC","000","2","108",08-02-1928
"0203.563.210","AC","012","2","108",28-12-1928
"0203.683.766","AC","000","2","151",01-01-1968
"0203.884.397","AC","000","2","116",01-01-1968
"0203.949.131","AC","012","2","116",25-06-1941
"0203.963.680","AC","000","2","108",26-12-1928
"0203.971.303","AC","012","2","116",01-01-1968
"0203.978.726","AC","000","2","414",30-12-1929
"0203.980.409","AC","000","2","108",01-01-1968
"0203.989.614","AC","000","2","116",01-01-1968
"0204.212.714","AC","000","2","416",13-11-1968
"0204.245.277","AC","000","2","414",30-03-1923
"0204.259.135","AC","000","2","108",13-11-1968
"0204.259.927","AC","000","2","116",13-12-1967
"0204.260.125","AC","000","2","414",02-03-1967
"0204.359.994","AC","000","2","108",05-04-1962
