"EstablishmentNumber","StartDate","EnterpriseNumber"
"2.161.267.688",09-08-1960,"0200.065.765"
"2.161.268.183",09-08-1960,"0200.065.765"
"2.158.292.758",16-02-1923,"0200.068.636"
"2.175.916.569",01-01-1950,"0200.068.636"
"2.175.916.866",01-01-1950,"0200.068.636"
"2.175.916.965",01-01-2009,"0200.068.636"
"2.207.103.356",01-09-2008,"0200.068.636"
"2.207.103.653",01-09-2008,"0200.068.636"
"2.207.105.039",01-09-2008,"0200.068.636"
"2.207.105.138",01-09-2008,"0200.068.636"
"2.207.105.336",01-09-2008,"0200.068.636"
"2.207.106.623",01-09-2008,"0200.068.636"
"2.207.106.821",01-09-2008,"0200.068.636"
"2.207.107.613",01-09-2008,"0200.068.636"
"2.207.108.108",01-09-2008,"0200.068.636"
"2.207.108.405",01-09-2008,"0200.068.636"
"2.207.115.531",01-09-2008,"0200.068.636"
"2.207.115.630",01-09-2008,"0200.068.636"
"2.207.115.828",01-09-2008,"0200.068.636"
"2.207.116.125",01-09-2008,"0200.068.636"
"2.207.116.323",01-01-2010,"0200.068.636"
"2.207.116.422",01-01-2010,"0200.068.636"
"2.207.117.511",01-09-2009,"0200.068.636"
"2.207.117.808",01-07-2010,"0200.068.636"
"2.207.118.501",01-01-2006,"0200.068.636"
"2.207.118.994",01-05-2009,"0200.068.636"
"2.207.180.956",01-01-2010,"0200.068.636"
"2.207.181.847",01-01-2010,"0200.068.636"
"2.207.183.827",01-09-2008,"0200.068.636"
"2.207.184.916",01-01-2006,"0200.068.636"
"2.207.185.114",01-09-2007,"0200.068.636"
"2.207.187.587",01-09-2008,"0200.068.636"
"2.207.187.884",01-01-2006,"0200.068.636"
"2.207.188.082",01-01-2011,"0200.068.636"
"2.207.188.874",01-02-2010,"0200.068.636"
"2.207.192.042",01-02-2010,"0200.068.636"
"2.207.194.616",01-01-2009,"0200.068.636"
"2.207.195.309",01-09-2008,"0200.068.636"
"2.207.195.705",01-09-2008,"0200.068.636"
"2.207.196.792",01-09-2008,"0200.068.636"
"2.207.196.990",01-01-2011,"0200.068.636"
"2.207.198.079",01-01-2011,"0200.068.636"
"2.207.214.808",01-01-2006,"0200.068.636"
"2.207.215.204",01-01-2006,"0200.068.636"
"2.207.215.796",01-11-2008,"0200.068.636"
"2.207.216.390",26-11-2010,"0200.068.636"
"2.207.216.786",15-12-2009,"0200.068.636"
"2.207.216.984",25-06-2009,"0200.068.636"
"2.207.217.380",27-05-2009,"0200.068.636"
"2.207.217.578",15-12-2011,"0200.068.636"
"2.208.517.774",01-01-2012,"0200.068.636"
"2.208.518.170",01-01-2012,"0200.068.636"
"2.208.518.764",01-01-2012,"0200.068.636"
"2.208.519.160",01-01-2012,"0200.068.636"
"2.208.519.457",01-01-2012,"0200.068.636"
"2.208.519.853",01-02-2012,"0200.068.636"
"2.208.520.348",01-02-2012,"0200.068.636"
"2.208.521.140",01-05-2012,"0200.068.636"
"2.208.521.239",01-05-2012,"0200.068.636"
"2.208.533.315",01-09-2007,"0200.068.636"
"2.208.533.612",01-09-2008,"0200.068.636"
"2.208.533.810",01-09-2008,"0200.068.636"
"2.229.447.307",24-05-2013,"0200.068.636"
"2.229.448.295",01-04-2012,"0200.068.636"
"2.229.448.691",19-08-2013,"0200.068.636"
"2.229.449.087",30-08-2013,"0200.068.636"
"2.229.449.582",01-01-2014,"0200.068.636"
"2.229.719.303",01-01-2014,"0200.068.636"
"2.229.719.796",01-04-2014,"0200.068.636"
"2.229.720.489",01-04-2014,"0200.068.636"
"2.229.720.984",01-04-2014,"0200.068.636"
"2.229.721.380",01-04-2014,"0200.068.636"
"2.229.721.578",01-04-2014,"0200.068.636"
"2.229.721.875",01-04-2014,"0200.068.636"
"2.161.837.317",01-01-1922,"0200.305.493"
"2.158.766.672",01-02-2004,"0200.362.111"
"2.166.134.615",26-02-1968,"0200.362.210"
"2.166.130.457",21-03-1992,"0200.362.408"
"2.168.951.672",01-03-2002,"0200.362.408"
"2.168.951.870",01-10-2003,"0200.362.408"
"2.168.951.969",01-10-2002,"0200.362.408"
"2.168.952.068",01-05-2005,"0200.362.408"
"2.168.952.266",01-09-1996,"0200.362.408"
"2.168.952.662",01-07-1996,"0200.362.408"
"2.168.952.959",20-04-1998,"0200.362.408"
"2.168.953.058",20-04-1998,"0200.362.408"
"2.168.953.256",20-04-1998,"0200.362.408"
"2.168.955.533",20-04-1998,"0200.362.408"
"2.168.955.830",01-09-1996,"0200.362.408"
"2.168.956.127",01-09-1996,"0200.362.408"
"2.168.956.325",01-09-1996,"0200.362.408"
"2.168.956.721",01-09-1996,"0200.362.408"
"2.168.957.414",01-09-1996,"0200.362.408"
"2.168.957.711",01-07-1996,"0200.362.408"
"2.168.957.909",01-07-1996,"0200.362.408"
"2.168.958.107",01-09-2005,"0200.362.408"
"2.168.958.503",01-07-1996,"0200.362.408"
"2.168.959.194",01-07-1996,"0200.362.408"
"2.168.959.689",01-07-1996,"0200.362.408"
"2.168.960.283",05-01-2004,"0200.362.408"
"2.168.960.580",01-07-1996,"0200.362.408"
"2.168.960.778",01-07-1996,"0200.362.408"
"2.168.960.976",01-07-1996,"0200.362.408"
"2.168.961.471",01-09-1999,"0200.362.408"
"2.168.961.570",01-09-1999,"0200.362.408"
"2.168.961.768",01-02-2008,"0200.362.408"
"2.150.858.697",03-01-2006,"0200.420.410"
"2.162.917.579",01-07-2000,"0200.762.878"
"2.171.339.159",07-10-1995,"0200.762.878"
"2.163.001.119",01-01-1968,"0200.881.951"
"2.161.770.110",01-01-1965,"0200.952.524"
"2.161.770.308",01-01-1965,"0200.952.524"
"2.162.852.253",02-03-1956,"0201.105.843"
"2.162.853.342",02-03-1956,"0201.105.843"
"2.162.853.540",02-03-1956,"0201.105.843"
"2.162.853.639",02-03-1956,"0201.105.843"
"2.162.853.936",02-03-1956,"0201.105.843"
"2.162.854.629",02-03-1956,"0201.105.843"
"2.162.854.926",02-03-1956,"0201.105.843"
"2.165.787.195",02-03-1956,"0201.105.843"
"2.227.021.515",01-01-2014,"0201.105.843"
"2.006.383.830",01-01-1925,"0201.107.526"
"2.211.467.168",01-04-2012,"0201.107.526"
"2.163.789.688",01-01-1960,"0201.107.922"
"2.163.789.787",04-09-1986,"0201.107.922"
"2.163.790.480",25-05-1984,"0201.107.922"
"2.163.790.579",19-12-1991,"0201.107.922"
"2.163.791.272",10-11-1979,"0201.107.922"
"2.163.791.371",30-11-1997,"0201.107.922"
"2.163.791.767",12-05-2002,"0201.107.922"
"2.163.791.866",01-12-1999,"0201.107.922"
"2.163.791.965",22-03-1977,"0201.107.922"
"2.191.518.723",07-01-2008,"0201.107.922"
"2.164.737.518",26-01-1979,"0201.258.172"
"2.162.441.982",01-01-1968,"0201.310.731"
"2.154.177.186",06-05-1967,"0201.310.929"
"2.154.177.285",01-09-1992,"0201.310.929"
"2.163.385.555",08-03-1971,"0201.310.929"
"2.163.385.654",02-05-1980,"0201.310.929"
"2.163.385.753",03-02-1996,"0201.310.929"
"2.163.385.852",06-09-1999,"0201.310.929"
"2.163.385.951",01-09-1993,"0201.310.929"
"2.158.307.210",01-01-1968,"0201.311.226"
"2.004.335.348",01-04-1949,"0201.400.110"
"2.159.828.625",19-11-1962,"0201.400.209"
"2.159.829.021",01-01-1994,"0201.400.209"
"2.159.830.902",01-01-2000,"0201.400.209"
"2.159.831.296",01-01-1999,"0201.400.209"
"2.159.831.494",01-01-1994,"0201.400.209"
"2.159.831.692",01-01-1994,"0201.400.209"
"2.159.831.890",01-01-1993,"0201.400.209"
"2.159.832.088",01-01-2001,"0201.400.209"
"2.159.832.385",01-01-1992,"0201.400.209"
"2.159.832.682",01-01-1997,"0201.400.209"
"2.159.832.781",01-01-1994,"0201.400.209"
"2.159.832.979",01-01-1993,"0201.400.209"
"2.159.833.276",01-01-2000,"0201.400.209"
"2.159.833.375",01-01-2000,"0201.400.209"
"2.159.833.573",01-01-1993,"0201.400.209"
"2.159.834.167",01-01-1992,"0201.400.209"
"2.159.834.365",01-01-1994,"0201.400.209"
"2.159.834.761",01-01-1993,"0201.400.209"
"2.159.835.553",01-01-1993,"0201.400.209"
"2.159.836.048",01-01-1994,"0201.400.209"
"2.159.837.830",01-01-1992,"0201.400.209"
"2.159.844.065",01-01-1998,"0201.400.209"
"2.159.844.164",01-01-1997,"0201.400.209"
"2.159.844.263",01-01-2000,"0201.400.209"
"2.159.844.362",01-01-1992,"0201.400.209"
"2.159.844.461",01-01-1993,"0201.400.209"
"2.159.844.560",01-01-1994,"0201.400.209"
"2.159.844.758",01-01-2000,"0201.400.209"
"2.159.844.857",01-01-1993,"0201.400.209"
"2.159.845.055",01-01-1992,"0201.400.209"
"2.159.845.748",01-01-1991,"0201.400.209"
"2.159.847.134",01-01-1996,"0201.400.209"
"2.159.847.332",01-01-1998,"0201.400.209"
"2.159.848.916",01-01-1990,"0201.400.209"
"2.159.850.795",01-01-1990,"0201.400.209"
"2.159.851.884",01-01-1986,"0201.400.209"
"2.159.859.408",01-01-1997,"0201.400.209"
"2.159.859.903",01-01-1998,"0201.400.209"
"2.164.983.877",18-09-2007,"0201.400.209"
"2.176.963.278",01-01-2009,"0201.400.209"
"2.189.517.355",07-06-2010,"0201.400.209"
"2.160.466.548",26-10-1948,"0201.543.234"
"2.160.466.746",01-11-1998,"0201.543.234"
"2.160.467.043",01-04-1978,"0201.543.234"
"2.160.467.340",01-01-1995,"0201.543.234"
